identifiant,titre,description,lien,état,prix,disponibilité,lien image,gtin,référence fabricant,marque
321,Paréo de ratine pour femme,"Paréo de ratine pour femme,
,Paréo court épais et absorbant en ratine de qualité supérieure.",https://massageboutik.com/fr/pareos/321-pareo-de-ratine-pour-femme.html,new,CAD$24.99,In Stock,https://massageboutik.com/775-large_default/pareo-de-ratine-pour-femme.jpg,, ,"
						Allez Housses
					"
176,Pompe à bouteille 8 oz - Biotone,"Pour distribuer facilement vos huiles, gels et lotions favorites pour tous les bouteilles de format 8 oz de Biotone.",https://massageboutik.com/fr/divers/176-pompe-a-bouteille-8-oz-biotone.html,new,CAD$4.99,In Stock,https://massageboutik.com/456-large_default/pompe-a-bouteille-8-oz-biotone.jpg,,PUMPB8Z,"
						Biotone
					"
311,Table Nomad Sumo,"Pour tous ceux qui débutent ou recherchent une table robuste de base, facile à transporter et silencieuse, possédant un excellent rapport qualité/prix.,
,Les tables Nomad ont une garantie à VIE limitée!",https://massageboutik.com/fr/equipements-de-massage/311-table-nomad-sumo-automatique.html,new,CAD$399.00,In Stock,https://massageboutik.com/710-large_default/table-nomad-sumo-automatique.jpg,,,"
						Nomad
					"
117,Crème Masso Pieds,"Combiné au massage, cette crème vous offre le meilleur des plantes, une belle harmonie d’ingrédients frais dont la menthe et le gingembre pour la beauté et la santé de vos pieds!",https://massageboutik.com/fr/produits-de-massage/117-creme-masso-pieds.html,new,CAD$20.99,In Stock,https://massageboutik.com/314-large_default/creme-masso-pieds.jpg,,CREXXXPIE,"
						Les Soins Corporels l'Herbier
					"
562,Carte Cadeau 150$,Le cadeau idéal pour tous les gens sur votre liste!!,https://massageboutik.com/fr/home/562-carte-cadeau.html,new,CAD$150.00,In Stock,https://massageboutik.com/2564-large_default/carte-cadeau.jpg,,,
522,Baume de massage Vitarub,Baume de massage pour douleurs articulaires.,https://massageboutik.com/fr/baumes-et-cremes-therapeutiques-de-massage/522-baume-de-massage-vitarub.html,new,CAD$14.99,In Stock,https://massageboutik.com/3241-large_default/baume-de-massage-vitarub.jpg,,07XX,"
						Laboratoire Vachon
					"
400,Couvre appui-tête contour - Polar bouclé,"Couvre appui-tête contour - Polar bouclé,
,Le polar bouclé est un tissu épais et moelleux extrêmement doux.,
,Idéal pour apporter luxe et confort à vos soins.,
,Un côté duveteux et doux sur la peau et un côté plat qui ne fait pas de peluche au lavage.,
,Couvre appui-tête contour fait de polar bouclé doux et épais.,
",https://massageboutik.com/fr/literie-de-massage/400-couvre-appui-tete-contour-polar-boucle.html,new,CAD$6.99,In Stock,https://massageboutik.com/967-large_default/couvre-appui-tete-contour-polar-boucle.jpg,,,"
						Allez Housses
					"
387,Hamac de rangement universel,"Hamac qui s'attache sous tous les modèles de tables pour augmenter le rangement dans votre salle de soins.,
,S'attache avec 4 sangles ajustables pour faire sous toutes les tables.,
,Fait de nylon robuste pour tolérer une grande quantité de produits sans s'étirer ou se déformer.,
,Longueur : 48 pouces,
,Largeur : 12 pouces",https://massageboutik.com/fr/equipements-de-massage/387-hamac-de-rangement-universel.html,new,CAD$24.99,In Stock,https://massageboutik.com/942-large_default/hamac-de-rangement-universel.jpg,,Hamac,
391,Taie pour traversin 6x24 (paquet de 2),Paire de taies pour protéger vos traversin de 6''x24''.,https://massageboutik.com/fr/equipements-de-massage/391-taie-pour-traversin-6x24-paquet-de-2.html,new,CAD$16.99,In Stock,https://massageboutik.com/948-large_default/taie-pour-traversin-6x24-paquet-de-2.jpg,,AH777S624-TCX,"
						Allez Housses
					"
366,Ens. de bambous pour le visage,Ensemble complet pour le massage du visage aux bambous.,https://massageboutik.com/fr/bambous-de-massage/366-ens-de-bambous-pour-le-visage.html,new,CAD$199.99,In Stock,https://massageboutik.com/4543-large_default/ens-de-bambous-pour-le-visage.jpg,,1003-C,"
						Bamboo Fusion
					"
