id,title,description,link,condition,price,availability,image link,gtin,mpn,brand
Ma87,Examen Clinique des Membres &Rachis 2E ED.,Buy Examen Clinique des Membres &Rachis 2E ED. from Massage Boutik,https://massageboutik.com/en/books-charts-and-reflexology/712-examen-clinique-des-membres-rachis-2e-ed-9782294093180.html,new,CAD$69.95,In Stock,https://massageboutik.com/2995-large_default/examen-clinique-des-membres-rachis-2e-ed.jpg,,9782294093180,
Ma88,"Peppermint, Mentha piperita","Anti-infectious, antibacterial, antiviral+++, antifungal, anti-parasitic. Tonic and stimulant+++ Anti-catarrhal, expectorant and mucolytic. Analgesic, anesthetic+++. Intestinal and urinary anti-inflammatory. Prostatic decongestant. Hormone-like and emmenagogue (ovary regulation).",https://massageboutik.com/en/ambience/284-tea-tree-melaleuca-alternifolia.html,new,CAD$14.56,In Stock,https://massageboutik.com/4250-large_default/tea-tree-melaleuca-alternifolia.jpg,,,"
						Aliksir
					"
Ma89,Massage table warmer - EarthLite,"Massage table warmer - EarthLite,
,Keep your customers warm and comfortable during their treatment with this ""Bodyworker's Choice"" table warmer from ,Earthlite,.,
,With three heat settings, it offers the perfect temperature for each person.",https://massageboutik.com/en/shop-by-category-massage-boutik-products/975-pique-chauffant-pour-table-de-massage.html,new,CAD$99.99,In Stock,https://massageboutik.com/4122-large_default/pique-chauffant-pour-table-de-massage.jpg,,PIQ-CHFF,"
						Earthlite
					"
Ma90,Earthlite Flex Rest Platform Headrest,"Earthlite Flax Rest Platform Headrest is a self-adjusting platform, flexes and pivots to adapt to the unique shape of your client’s face.,
,The dowels measure 8″ on center to fit.",https://massageboutik.com/en/shop-by-category-massage-boutik-products/909-base-appui-tete-flexrest-de-earthlite.html,new,CAD$119.99,In Stock,https://massageboutik.com/3753-large_default/base-appui-tete-flexrest-de-earthlite.jpg,,,"
						Earthlite
					"
Ma91,Rice Bran Oil  - MasssageBoutik,"Rice Bran Massage Oil,
,Contains powerful antioxidant.,
,Proudly made in ,Canada",https://massageboutik.com/en/shop-by-category-massage-boutik-products/949-ricebran-oil-masssageboutik.html,new,CAD$3.99,In Stock,https://massageboutik.com/3970-large_default/ricebran-oil-masssageboutik.jpg,,,
Ma92,Massage Tappers,Massage tappers,https://massageboutik.com/en/therapeutic-accessories-for-massage/632-massage-tappers.html,new,CAD$11.99,In Stock,https://massageboutik.com/2786-large_default/massage-tappers.jpg,,L524,
Ma93,Flat Sheet - Curly Fleece,"Flat Sheet - Curly Fleece,
,Curly fleece is a thick and soft fabric, and is ideal to bring luxury and comfort to your client.,
,A fluffy side that is soft against the skin and a flat side that doesn't fluff up when washing.",https://massageboutik.com/en/shop-by-category-massage-boutik-products/987-flat-sheet-curly-fleece.html,new,CAD$27.99,In Stock,https://massageboutik.com/4221-large_default/flat-sheet-curly-fleece.jpg,,,"
						Allez Housses
					"
Ma94,"Tea Tree, Melaleuca alternifolia","Positivating, anti-infectious++++, wide-spectrum anti-bacterial++++, anti-fungal (candida) antiviral, anti-parasitic, antiseptic+++, anti-inflammatory, immuno stimulant, anti-asthenia++, cardioactive, venous decongestive, phlebotonic, neurotonic (equilibration) analgesic, hyperthermizing, chemical protector.",https://massageboutik.com/en/ambience/283-tea-tree-melaleuca-alternifolia.html,new,CAD$11.58,In Stock,https://massageboutik.com/645-large_default/tea-tree-melaleuca-alternifolia.jpg,,,"
						Aliksir
					"
Ma95,Litsea citrata,Buy Litsea citrata from Massage Boutik,https://massageboutik.com/en/ambience/282-litsea-citrata.html,new,CAD$15.67,In Stock,https://massageboutik.com/644-large_default/litsea-citrata.jpg,,HE LITCU BIO  XX,"
						Aliksir
					"
Ma96,Massothérapie Clinique 3e ÉD,Buy Massothérapie Clinique 3e ÉD from Massage Boutik,https://massageboutik.com/en/books-charts-and-reflexology/710-massotherapie-clinique-3e-ed-9782224034726.html,new,CAD$97.95,In Stock,https://massageboutik.com/2993-large_default/massotherapie-clinique-3e-ed.jpg,,9782224034726,
Ma97,Curly Fleece Fitted Sheet,"Curly Fleece Fitted Sheet ,
,Curly fleece is a thick and soft fabric, and is ideal to bring luxury and comfort to your client.,
,A fluffy side that is soft against the skin and a flat side that doesn't fluff up when washing. The fabric is knitted and non-woven, which gives it a high degree of stretch.",https://massageboutik.com/en/shop-by-category-massage-boutik-products/986-curly-fleece-fitted-sheet.html,new,CAD$29.99,In Stock,https://massageboutik.com/4218-large_default/curly-fleece-fitted-sheet.jpg,,,"
						Allez Housses
					"
Ma98,Clear Results Massage Oil - Biotone,"Clear Results' light, silky formula washes out easily from fabrics, leaving your sheets and towels looking their best. In fact, recent comparison studies show Clear Results washed out more clearly and completely than any other oil tested.",https://massageboutik.com/en/massage-products/154-clear-results-massage-oil.html,new,CAD$28.99,In Stock,https://massageboutik.com/417-large_default/clear-results-massage-oil.jpg,,CROXXX,"
						Biotone
					"
