id,title,description,link,condition,price,availability,image link,gtin,mpn,brand
Mass43,Gift Certificate - pack of 10,,https://massageboutik.com/en/shop-by-category-massage-boutik-products/1002-certificat-cadeaux-cheques-cadeaux-paquet-de-10.html,new,$5.00,In Stock,https://massageboutik.com/4404-large_default/certificat-cadeaux-cheques-cadeaux-paquet-de-10.jpg,,CC-XX,
Mass44,Bambino - Massage Cream Milk Chocolate,,https://massageboutik.com/en/massage-products/126-bambino-massage-cream-milk-chocolate.html,new,$9.59,In Stock,https://massageboutik.com/345-large_default/bambino-massage-cream-milk-chocolate.jpg,,BAMXXXMCH,"
				    Les Soins Corporels l'Herbier
				"
Mass45,Body and Massage Balm – Conception & Baby,,https://massageboutik.com/en/massage-products/51-conception-baby-balm.html,new,$15.99,In Stock,https://massageboutik.com/141-large_default/conception-baby-balm.jpg,,,"
				    Les Soins Corporels l'Herbier
				"
Mass46,Biogel – Rich & Creamy,,https://massageboutik.com/en/massage-products/50-biogel-rich-creamy.html,new,$9.89,In Stock,https://massageboutik.com/3805-large_default/biogel-rich-creamy.jpg,,,"
				    Les Soins Corporels l'Herbier
				"
Mass47,Biogel – Muscular & Pulmonary,,https://massageboutik.com/en/massage-gels/44-biogel-muscular-pulmonary.html,new,$9.89,In Stock,https://massageboutik.com/3803-large_default/biogel-muscular-pulmonary.jpg,,,"
				    Les Soins Corporels l'Herbier
				"
Mass48,Yoga Tune Up® - ROLLS Royce Collection,,https://massageboutik.com/en/shop-by-category-massage-boutik-products/896-yoga-tune-up-rolls-royce-collection.html,new,$69.99,In Stock,https://massageboutik.com/3717-large_default/yoga-tune-up-rolls-royce-collection.jpg,,YB-RRC,"
				    Yoga Tune Up
				"
Mass49,Gift package- Fruits & Vegetables washing soap,,https://massageboutik.com/en/home/853-ensemble-cadeau-savon-lave-fruits-loffrez.html,new,$12.99,In Stock,https://massageboutik.com/3499-large_default/ensemble-cadeau-savon-lave-fruits-loffrez.jpg,,,"
				    Aurélie Savonnerie artisanale
				"
Mass50,Paraffin Wax Beads - 1Lb,,https://massageboutik.com/en/shop-by-category-massage-boutik-products/868-perle-de-cire-de-paraffine-vanille.html,new,$8.99,In Stock,https://massageboutik.com/4461-large_default/perle-de-cire-de-paraffine-vanille.jpg,,,"
				    Therabath 
				"
Mass51,"Aromasol Pin, sapin & Eucalyptus - Brume d'ambiance",,https://massageboutik.com/en/mists-and-fragrance/741-aromasol-pin-sapin-eucalyptus-brume-d-ambiance.html,new,$23.99,In Stock,https://massageboutik.com/3437-large_default/aromasol-pin-sapin-eucalyptus-brume-d-ambiance.jpg,,AROM270-1,"
				    DeMonceaux
				"
Mass52,Ventilated washable protective mask - 2 layers,,https://massageboutik.com/en/shop-by-category-massage-boutik-products/814-masque-de-protection-lavable-2-epaisseurs.html,new,$2.00,In Stock,https://massageboutik.com/3292-large_default/masque-de-protection-lavable-2-epaisseurs.jpg,,,"
				    Allez Housses
				"
